HERD AREA NAME,Herd Code ,HERD AREA BLM Acres,HERD AREA Total Acres,HERD MANAGEMENT AREA  BLM Acres ,HERD MANAGEMENT AREA Total Acres,Horse AML Low End,Horse AML High End,Horse Pop,% AML Horse,Burro AML Low End,Burro AML High End,Burro Pop,Burro % of AML,Population Inventory,Most Recent Gather,Most Recent Year at AML
DEAD MOUNTAIN,CA0697,38581,42759,,,,,0,,,,43,,April 1982,,
GRANITE-PROVIDENCE MOUNTAINS,CA0693,174208,192740,,,,,0,,,,0,,August 1999,,
KRAMER,CA0682,5646,14024,,,,,0,,,,0,,January 1990,,
LAVA BEDS,CA0692,169131,177332,,,,,0,,,,0,,May 1997,,
MORONGO,CA0661,27441,39159,,,,,0,,,,0,,February 1988,,
NEW YEARS LAKE  (into CA0269),CA0260,284915,350225,,,,,102,,,,0,,,,
PALM CANYON,CA0662,2758,10162,,,,,0,,,,0,,,,
PANAMINT,CA0653,360419,414699,,,,,0,,,,29,,March 2004,,
PICACHO (within CA0671),CA0672,43633,46646,,,,,0,,,,0,,November 2002,,
PIUTE MOUNTAIN,CA0696,37333,39781,,,,,0,,,,48,,October 1987,,
SAND SPRING-LAST CHANCE,CA0657,233741,240993,,,,,0,,,,0,,May 1995,,
SLATE RANGE,CA0655,75713,512967,,,,,0,,,,22,,February 2008,,
TULEDAD (in CA0261 & CA0262),CA0270,130213,155327,,,,,0,,,,0,,,,
WOODS-HACKBERRY,CA0694,46351,56542,,,,,0,,,,0,,December 1992,,
OUTSIDE OF HERD AREAS,CA000Z,,,,,,,128,,,,366,,January 2007,,
LITTLE BOOK CLIFFS WILD HORSE RANGE,CO0766,51040,52634,35178,36100,150,,135,,0,,0,,June 2010,September 2007,2011
PICEANCE-EAST DOUGLAS CREEK,CO0161,131018,160841,158332,190016,235,,320,,0,,0,,March 2010,October 2010,2011
SAND WASH BASIN,CO0143,151435,156502,151435,156502,362,,270,,0,,0,,June 2010,October 2008,2011
SPRING CREEK BASIN,CO0384,43045,54528,21043,21395,65,,74,,0,,0,,June 2010,August 2007,2010
DOUGLAS MOUNTAIN,CO0144,65741,117512,,,,,0,,,,0,,June 2002,,
NATURITA RIDGE,CO0345,53739,63204,,,,,0,,,,0,,September 1997,,
NORTH PICEANCE (in CO0161),CO0163,104168,118405,,,,,40,,,,0,,October 2010,,
WEST DOUGLAS CREEK,CO0162,122909,127649,,,,,130,,,,0,,October 2006,,
OUTSIDE OF HERD AREAS,CO000Z,,,,,,,15,,,,0,,October 2010,,
BLACK MOUNTAIN,ID0006,47434,50904,47434,50904,60,,48,,0,,0,,November 2010,November 2010,2011
CHALLIS,ID0005,156545,167848,156545,167848,253,,270,,0,,0,,July 2010,December 2009,2010
FOUR MILE,ID0002,20457,25806,15441,18034,60,,44,,0,,0,,November 2009,October 2009,2011
HARD TRIGGER,ID0007,62149,69910,60090,67882,130,,93,,0,,0,,November 2010,November 2010,2011
SAND BASIN,ID0004,9392,11724,9392,11724,64,,40,,0,,0,,November 2009,October 2009,2011
SAYLOR CREEK,ID0003,94992,101876,94992,101876,50,,5,,0,,0,,September 2010,September 2010,2011
MORGAN CREEK,ID0009,21341,24067,,,,,0,,,,0,,,,
SHEEP MOUNTAIN,ID0008,210,14826,,,,,0,,,,0,,,,
WEST CRANE CREEK,ID0001,8263,10339,,,,,0,,,,0,,September 1989,,
OUTSIDE OF HERD AREAS,ID000Z,,,,,,,0,,,,0,,,,
DIAMOND (All claimed-not mapped),ID0010,,,,,,,,,,,,,,,
PRYOR MOUNTAIN WILD HORSE RANGE**,MT0251,28324,44920,24641,33187,120,,159,,0,,0,,March 2011,September 2009,2009
BARTON GULCH,MT0253,8026,18349,,,,,0,,,,0,,,,
DEVILS FENCE,MT0254,16306,68031,,,,,0,,,,0,,,,
ERVIN RIDGE,MT0252,6586,11760,,,,,0,,,,0,,,,
GARDEN CREEK,MT0255,13253,26051,,,,,0,,,,0,,,,
ROCKY HILLS,MT0257,25320,39007,,,,,0,,,,0,,,,
SWEETWATER,MT0256,6029,21955,,,,,0,,,,0,,,,
OUTSIDE OF HERD AREAS,MT000Z,,,,,,,6,,,,0,,September 2009,,
AMARGOSA VALLEY,NV0511,8124,8819,8124,8819,0,,0,,0,,0,,April 1990,October 1989,2011
ANTELOPE (from NV0490 & NV0495),NV0401,0,0,327385,399761,324,,239,,0,,0,,October 2010,February 2011,2011
ANTELOPE VALLEY (from NV0106),NV0107,414816,417092,496167,504714,259,,519,,0,,0,,October 2010,February 2011,2005
ASH MEADOWS,NV0509,96448,115143,96448,115143,0,,0,,0,,0,,December 1993,December 1993,2011
AUGUSTA MOUNTAINS,NV0311,311726,315857,176208,177570,308,,256,,0,,0,,January 2011,February 2011,2011
BALD MOUNTAIN,NV0603,139693,139875,139693,139875,215,,136,,0,,0,,November 2010,December 2010,2011
BLACK ROCK RANGE EAST,NV0209,91191,93438,91191,93438,93,,71,,0,,0,,June 2010,January 2010,2011
BLACK ROCK RANGE WEST,NV0227,94287,96543,94287,96543,93,,143,,0,,0,,June 2010,February 2010,2010
BLUE WING MOUNTAINS,NV0217,17854,17854,17854,17854,36,,51,,28,,23,,November 2005,November 2005,2006
BUFFALO HILLS,NV0220,125207,131861,125207,131861,314,,415,,0,,0,,January 2009,January 2009,2002
BULLFROG,NV0629,146701,157180,146701,157180,0,,0,,91,,124,,February 2010,July 1998,
CALICO MOUNTAINS,NV0222,158086,160831,158086,160831,333,,450,,0,,0,,June 2010,February 2010,2010
CALLAGHAN (from NV0687 & NV0689),NV0604,0,0,152726,156156,237,,221,,0,,0,,November 2010,January 2011,2011
CLAN ALPINE,NV0310,298064,302226,298064,302226,979,,503,,0,,0,,December 2010,October 2006,2011
DESATOYA (from NV0688),NV0606,21699,22399,157838,161678,180,,520,,0,,0,,April 2010,February 2004,2004
DIAMOND,NV0609,169028,211974,145341,166632,151,,244,,0,,0,,March 2010,July 2004,2004
DIAMOND HILLS NORTH,NV0104,70531,71534,70531,71564,37,,145,,0,,0,,March 2010,July 2004,2004
DIAMOND HILLS SOUTH (original name Railroad Pass),NV0412,20288,20288,20082,20082,22,,202,,0,,0,,March 2010,July 2004,2004
DOGSKIN MOUNTAINS,NV0302,6497,6523,6497,6523,15,,30,,0,,0,,April 2010,December 2005,2006
EAGLE (from NV0404 & NV0521),NV0414,0,0,659188,660610,210,,200,,0,,0,,October 2010,January 2011,2011
EL DORADO MOUNTAINS,NV0501,15120,96224,15120,16525,0,,0,,0,,0,,March 2007,September 2000,2011
FISH CREEK (from NV0698),NV0612,246786,250966,250244,252771,180,,163,,0,,0,,September 2007,February 2006,2011
FISH LAKE VALLEY**,NV0622,64007,67085,64007,67085,54,,16,,0,,0,,February 2010,February 2005,2011
FLANIGAN,NV0301,16319,17147,16319,17147,125,,278,,0,,0,,April 2010,October 2006,2001
FORT SAGE,NV0320,1939,1950,1939,1950,36,,0,,0,,0,,,,
FOX-LAKE RANGE,NV0228,172692,177724,172692,177724,204,,244,,0,,0,,July 2008,July 2008,2010
GARFIELD FLAT,NV0313,125420,142716,125420,142716,125,,112,,0,,0,,October 2009,October 2009,2011
GOLD BUTTE,NV0502,170354,271772,170354,178564,0,,0,,98,,128,,,,
GOLD MOUNTAIN,NV0628,106522,107638,106522,107638,0,,7,,78,,1,,March 2011,March 2007,2007
GOLDFIELD,NV0626,53391,62794,52965,62367,0,,20,,37,,26,,September 2006,August 1996,2001
GOSHUTE,NV0108,290923,303171,266045,267277,123,,113,,0,,0,,February 2010,November 1996,1996
GRANITE PEAK,NV0303,3981,4001,3981,4001,18,,70,,0,,0,,October 2010,February 2011,2011
GRANITE RANGE,NV0221,92016,103804,92016,103804,258,,160,,0,,0,,April 2010,January 2010,2004
HORSE MOUNTAIN,NV0308,49572,49779,49572,49779,95,,0,,0,,0,,June 2010,February 2005,2011
HOT CREEK,NV0616,81725,82230,54238,54671,41,,18,,0,,0,,November 2003,,2011
JACKSON MOUNTAINS,NV0208,276634,283775,276634,283775,217,,520,,0,,0,,August 2007,December 2004,2011
JOHNNIE** (from NV0527 & NV0508),NV0510,0,0,177237,179368,0,,92,,108,,190,,September 2007,September 2007,2007
KAMMA MOUNTAINS,NV0214,54410,57390,54410,57390,77,,119,,0,,0,,March 2011,January 2007,2007
LAHONTAN,NV0306,6937,9578,6937,9578,10,,17,,0,,0,,November 2005,December 2005,2006
LAVA BEDS,NV0215,232940,233000,232940,233000,148,,277,,16,,22,,November 2010,November 2010,2004
LITTLE FISH LAKE**,NV0614,135698,139341,28122,28744,39,,85,,0,,0,,November 2005,December 2005,2006
LITTLE HUMBOLDT,NV0102,52367,63916,15741,17152,80,,66,,0,,0,,August 2009,February 2006,2006
LITTLE OWYHEE,NV0200,452518,460284,452518,460284,298,,780,,0,,0,,April 2011,July 2010,2011
MARIETTA WILD BURRO RANGE,NV0316,64466,66045,64466,66045,0,,0,,104,,132,,April 2011,November 2004,2004
MAVERICK-MEDICINE (from NV0106),NV0105,247817,251241,318760,323562,276,,553,,0,,0,,August 2007,August 1999,2001
MCGEE MOUNTIAN,NV0210,41160,41160,41160,41160,0,,0,,41,,106,,November 2010,August 2006,2006
MONTEZUMA PEAK,NV0625,76437,77876,76437,77876,0,,6,,0,,40,,March 2006,March 2006,2006
MUDDY MOUNTAINS,NV0503,77196,187798,77196,78705,0,,5,,0,,0,,February 2010,September 2010,2001
NEVADA WILD HORSE RANGE,NV0524,0,1301637,0,1301637,500,,216,,0,,32,,March 2011,March 2007,2007
NEW PASS-RAVENSWOOD,NV0602,284475,285878,284475,285878,566,,396,,0,,0,,September 2009,July 2008,2004
NIGHTENGALE MOUNTAINS,NV0219,74367,76439,74367,76439,63,,101,,0,,5,,November 2010,January 2011,2011
NORTH STILLWATER,NV0229,176800,178927,176800,178927,205,,214,,0,,0,,November 2005,December 2005,2006
OWYHEE,NV0101,336233,339103,336233,339103,231,,180,,0,,0,,July 2008,July 2008,2011
PALMETTO,NV0624,115359,118273,115359,118273,76,,0,,0,,0,,April 2011,July 2010,2011
PANCAKE** (from NV0402 & NV0405),NV0415,0,0,849613,849922,493,,1291,,0,,0,,February 2010,August 1996,2011
PAYMASTER (original name Paymaster- Lone Mountain),NV0621,98810,100590,98810,100590,38,,20,,0,,0,,January 2006,,
PILOT MOUNTAIN (from NV0315 & NV0690),NV0314,129703,130499,475440,477133,415,,402,,0,,0,,February 2010,October 2006,2011
PINE NUT MOUNTAINS,NV0305,183479,251792,95391,104316,179,,182,,0,,0,,January 2011,January 2005,2011
RED ROCK** (from NV0525)(original name Red Rock-Bird Springs),NV0504,0,0,157443,161969,27,,42,,49,,65,,November 2010,December 2010,2011
REVEILLE,NV0619,387676,389050,104500,105499,138,,76,,0,,0,,March 2011,January 2007,2007
ROBERTS MOUNTAIN,NV0607,221922,225906,99321,99988,150,,248,,0,,0,,February 2010,September 2010,2011
ROCK CREEK,NV0103,144907,183500,98185,121434,250,,185,,0,,10,,,,
ROCKY HILLS (original name North Simpson Park),NV0605,81435,83988,81435,83988,143,,113,,0,,0,,September 2008,January 2008,2008
SAND SPRINGS WEST,NV0630,168189,168189,152277,152277,49,,285,,0,,0,,April 2011,July 2010,2007
SAULSBURY**,NV0620,142743,144240,134508,135081,40,,172,,0,,0,,November 2010,December 2010,2011
SEVEN MILE** (original name Antelope (HA)),NV0613,103998,104878,96772,97654,50,,162,,0,,0,,April 2008,January 2006,2006
SEVEN TROUGHS,NV0216,131413,148884,131413,148884,156,,236,,46,,58,,August 2009,February 2007,2007
SHAWAVE MOUNTAINS,NV0218,102837,107081,102837,107081,73,,112,,0,,0,,September 2007,August 2005,2006
"SILVER KING (from NV0410, NV0522, & NV0523)",NV0416,0,0,574962,575460,128,,200,,0,,0,,November 2005,December 2005,2006
SILVER PEAK,NV0623,239801,242462,239801,242462,0,,56,,0,,6,,November 2005,November 2005,2006
SNOWSTORM MOUNTAINS,NV0201,103802,117109,103802,117109,140,,320,,0,,0,,September 2010,October 2010,
SOUTH SHOSHONE,NV0601,147923,150917,132401,133093,100,,224,,0,,0,,February 2010,October 2006,2007
SOUTH STILLWATER,NV0309,9773,9773,9773,9773,16,,19,,0,,0,,April 2011,October 2006,2006
SPRUCE-PEQUOP,NV0109,312490,328944,234975,240744,82,,423,,0,,0,,October 2009,January 2009,2008
STONE CABIN**(from NV0699),NV0618,281913,285854,402567,407706,364,,476,,0,,0,,,,2010
STONEWALL,NV0627,23780,23887,23780,23887,0,,0,,8,,16,,October 2010,February 2011,2005
TOBIN RANGE,NV0231,186654,198236,186654,198236,42,,26,,0,,0,,August 2009,February 2007,2007
"TRIPLE B** (from NV0403, NV0407, & NV0406)",NV0417,0,0,1230579,1232494,518,,1217,,0,,0,,February 2010,June 1986,2001
WARM SPRINGS CANYON,NV0226,91105,91710,91105,91710,175,,350,,24,,26,,September 2010,November 2009,2011
WASSUK,NV0312,51626,51743,51626,51743,165,,362,,0,,0,,November 2010,,
WHEELER PASS** (from NV0525),NV0507,0,0,273898,275575,66,,290,,35,,210,,June 2010,February 2010,2005
WHISTLER MOUNTAIN (from NV0698),NV0608,0,0,42660,43245,24,,44,,0,,0,,April 2010,,2003
HICKISON SUMMIT*,NV0610,57275,57275,57275,57275,0,,0,,45,,96,,March 2011,January 2007,2008
MONTGOMERY PASS*,NV0317,84500,87339,49023,50815,0,,79,,0,,0,,September 2008,,2008
NORTH MONITOR*,NV0611,11277,11512,11277,11512,8,,31,,0,,0,,September 2009,,
ANTELOPE RANGE,NV0211,82071,131581,,,,,6,,,,0,,,September 1998,
APPLEWHITE,NV0518,30646,30968,,,,,7,,,,0,,September 2007,August 2005,2006
AUSTIN (into NV0604),NV0687,84223,85794,,,,,0,,,,0,,,,
BLOODY RUNS,NV0204,44896,74097,,,,,0,,,,0,,October 1996,,
BLUE DIAMOND (in NV0525),NV0505,,0,,,,,0,,,,0,,,,
BLUE NOSE PEAK,NV0514,84627,84788,,,,,6,,,,0,,October 2009,,
BUCK-BALD (into NV0417),NV0403,309106,322003,,,,,0,,,,0,,August 2006,,
BULTER BASIN*,NV0686,10345,10345,,,,,0,,,,0,,,,
BUTTE (from NV0406; into NV0417),NV0407,0,0,,,,,0,,,,0,,August 2006,,
CAVE VALLEY (in NV0410),NV0493,76376,76415,,,,,0,,,,0,,,,
CHERRY CREEK  (into NV0417) (original name Cherry Creek-Egan),NV0406,472429,481287,,,,,0,,,,0,,February 1987,,
CLOVER CREEK,NV0517,33187,33420,,,,,12,,,,0,,October 2009,,
CLOVER MOUNTAINS,NV0516,172733,173088,,,,,12,,,,0,,October 2009,,
DEER LODGE CANYON (into NV0414),NV0521,107988,109753,,,,,0,,,,0,,March 2007,,
DELAMAR MOUNTAINS,NV0515,184377,185843,,,,,18,,,,0,,October 2009,,
DOBBIN SUMMIT***,NV0615,19190,19309,,,,,0,,,,0,,,,
DRY LAKE (into NV0416),NV0410,415017,417957,,,,,0,,,,0,,December 2006,,
DUNLAP (into NV0314),NV0690,218953,219073,,,,,0,,,,0,,,,
EAST RANGE,NV0225,321328,451904,,,,,33,,,,0,,November 2001,,
EUGENE MOUNTAINS,NV0207,49215,86093,,,,,0,,,,0,,June 1993,,
FORTIFICATION (into NV0404),NV0496,337176,344655,,,,,0,,,,0,,,,
GABBS VALLEY RANGE (into NV314),NV0315,126784,127562,,,,,0,,,,0,,November 1987,,
GOLDEN GATE (into NV0411),NV0494,96247,97131,,,,,0,,,,0,,,,
GOSHUTE (in NV0401),NV0495,93086,93103,,,,,0,,,,0,,,,
GRASS VALLEY (into NV0604),NV0689,68503,70361,,,,,0,,,,0,,,,
HIGHLAND PEAK (into NV0416),NV0522,135986,137874,,,,,0,,,,0,,December 2006,,
HORSE SPRING,NV0307,15302,25695,,,,,0,,,,0,,July 2000,,
HOT SPRINGS MOUNTAINS,NV0203,47873,68179,,,,,0,,,,15,,,,
HUMBOLDT,NV0224,219075,431545,,,,,106,,,,0,,July 1993,,
IONE,NV0691,168445,168974,,,,,0,,,,0,,,,
JAKES WASH***,NV0408,153662,153662,,,,,116,,,,0,,August 2007,,
KOBEH VALLEY (into NV0608 & NV0612),NV0698,91084,93613,,,,,0,,,,0,,,,
KRUM HILLS,NV0206,38107,64192,,,,,0,,,,0,,December 1985,,
LAST CHANCE (into NV0510),NV0527,138036,161986,,,,,0,,,,0,,,,
LITTLE MOUNTAIN,NV0519,53088,53258,,,,,6,,,,0,,October 2009,,
LOWER PARADISE VALLEY,NV0233,16130,44896,,,,,0,,,,0,,,,
LUCKY STRIKE (in NV0525),NV0526,,0,,,,,0,,,,0,,,,
MAVRICK-BUTTE (into NV0403),NV0491,513667,517007,,,,,0,,,,0,,,,
MEADOW VALLEY MOUNTAINS,NV0513,95975,97448,,,,,7,,,,0,,October 2009,,
MILLER FLAT,NV0520,91756,92124,,,,,7,,,,0,,October 2009,,
MONTE CRISTO (into NV0415),NV0402,372780,378570,,,,,0,,,,0,,January 2006,,
MORIAH***,NV0413,43370,43405,,,,,19,,,,0,,September 2010,,
MORMON MOUNTAINS,NV0512,136793,136987,,,,,0,,,,0,,October 2009,,
MOUNT AIRY,NV0695,64812,67575,,,,,20,,,,0,,,,
MOUNT POTOSI (in NV0525),NV0506,,,,,,,0,,,,0,,,,
MOUNT STERLING (into NV0510),NV0508,79336,80679,,,,,0,,,,0,,March 1999,,
MURPHYS WASH,NV0452,98120,175926,,,,,0,,,,0,,,,
NORTH CHERRY CREEK (in NV0105 & NV0107),NV0106,152294,158161,,,,,0,,,,0,,December 1996,,
NORTH SHOSHONE,NV0697,103937,175130,,,,,0,,,,0,,,,
OSGOOD MOUNTAINS,NV0202,83997,142122,,,,,0,,,,0,,,,
PAH RAH MOUNTAINS,NV0304,11067,23522,,,,,0,,,,0,,August 1985,,
PARK MOUNTAIN,NV0694,34010,34065,,,,,0,,,,0,,,,
PATTERSON-EAGLE (into NV0404),NV0492,332059,342499,,,,,0,,,,0,,,,
POWELL MOUNTAIN*,NV0318,27248,30423,,,,,0,,,,0,,,,
QUINN***,NV0696,103960,105708,,,,,0,,,,0,,,,
RATTLESNAKE (into NV0416),NV0523,71432,71432,,,,,0,,,,0,,December 2006,,
SAND SPRINGS EAST (into NV0415),NV0405,480437,480983,,,,,0,,,,0,,February 2006,,
SCHELL CREEK (into NV0401),NV0490,299432,306658,,,,,0,,,,0,,,,
SEAMAN RANGE,NV0411,263105,264104,,,,,36,,,,0,,August 2009,,
SELENITE RANGE,NV0212,123496,125306,,,,,0,,,,1,,December 2005,,
SLUMBERING HILLS,NV0205,46055,46455,,,,,0,,,,0,,,,
SMITH CREEK (into NV0606),NV0688,136139,139279,,,,,0,,,,0,,,,
SONOMA RANGE,NV0223,150095,212587,,,,,16,,,,0,,October 2009,,
SOUTH PANCAKE,NV0692,75109,75109,,,,,0,,,,0,,,,
SOUTH SLUMBERING HILLS,NV0230,21341,30096,,,,,0,,,,0,,December 1985,,
SPRING MOUNTAIN (in NV0504 & NV0507),NV0525,773583,795515,,,,,0,,,,0,,,,
TOANO,NV0110,43811,67680,,,,,0,,,,0,,October 1993,,
TRINITY RANGE,NV0232,105621,161456,,,,,6,,,,0,,December 2005,,
TRUCKEE RANGE,NV0213,91974,171213,,,,,0,,,,0,,,,
TULE RIDGE/MAHOGANY FLAT,NV0319,4160,4404,,,,,0,,,,0,,,,
UPPER HOT CREEK,NV0693,92200,93262,,,,,0,,,,0,,,,
WHITE RIVER,NV0409,118627,118627,,,,,47,,,,0,,August 2009,,
WILLOW CREEK (in NV0618),NV0699,98252,99246,,,,,0,,,,0,,,,
WILSON CREEK (from into NV0414),NV0404,0,0,,,,,0,,,,0,,February 2007,,
OUTSIDE OF HERD AREAS,NV000Z,0,0,,,,,414,,,,15,,August 2007,,
BORDO ATRAVESADO,NM0001,16487,19614,16487,3128,60,,51,,0,,0,,June 2009,January 2011,2011
CARRACAS MESA*(3) (original name Rosa Community),NM0003,8019,8999,8019,8999,23,,12,,0,,0,,,December 2005,2011
GODFREY HILLS,NM0002,9407,27108,,,,,0,,,,0,,,,
PUNCHE VALLEY,NM0004,54742,70809,,,,,0,,,,0,,,,
OUTSIDE OF HERD AREAS,NM000Z,,,,,,,0,,,,0,,April 1995,,
BEATYS BUTTE,OR0002,399725,438140,399725,438140,,,250,,416,,0,,November 2009,September 2009,2010
COLD SPRING,OR0013,29889,32664,29889,32664,,,150,,75,,0,,March 2010,July 2010,2011
COYOTE LAKE/ALVORD TULE SPRINGS,OR0014,237958,253389,584854,588432,,,390,,212,,0,,June 2010,November 2008,2011
HOG CREEK,OR0011,21819,22381,21819,22381,,,50,,36,,0,,September 2009,November 2009,2011
JACKIES BUTTE,OR0015,120751,123766,65211,65251,,,150,,147,,0,,March 2010,October 2007,2011
KIGER (from OR0020 & OR0038),OR0010,840,0,19998,30305,,,82,,100,,0,,April 2010,October 2007,2010
LIGGETT TABLE,OR0037,28098,28849,28098,28849,,,25,,24,,0,,August 2009,September 2009,2011
PAISLEY DESERT,OR0001,327895,335445,297552,303718,,,150,,117,,0,,November 2009,December 2009,2011
PALOMINO BUTTES,OR0006,86191,98810,72359,74234,,,64,,39,,0,,September 2005,December 2009,2011
POKEGAMA,OR0018,16279,84963,16279,84963,,,50,,46,,0,,October 2004,June 2000,2011
RIDDLE MOUNTAIN,OR0009,76311,85231,28331,32666,,,56,,68,,0,,April 2010,October 2007,2010
SAND SPRINGS,OR0017,193532,207253,193532,207253,,,200,,72,,0,,June 2010,September 2006,2011
SHEEPSHEAD/HEATH CREEK (3),OR0016,136053,136749,198848,205275,,,302,,293,,0,,June 2010,November 2008,2011
SOUTH STEENS,OR0003,187502,280715,127608,134459,,,304,,191,,0,,July 2009,November 2009,2011
STINKINGWATER,OR0008,78312,92086,78312,92086,,,80,,40,,0,,July 2009,August 2010,2011
THREE FINGERS,OR0012,82929,92681,62513,71486,,,150,,261,,0,,March 2010,August 2006,2010
WARM SPRINGS,OR0007,474396,499457,474396,499457,,,202,,111,,15,,April 2010,November 2010,2011
MURDERERS CREEK*,OR0019,34253,67132,34253,67132,,,35,,198,,0,,January 2011,February 2011,2005
ALVORD TULE SPRINGS,OR0005,346896,364479,,,,,0,,,,0,,,,
ATTURBURY,OR0028,7906,9613,,,,,0,,,,0,,,,
BASQUE,OR0025,8676,9379,,,,,0,,,,0,,,,
CHERRY CREEK,OR0021,35744,138886,,,,,0,,,,0,,,,
COTTONWOOD BASIN,OR0026,7804,8042,,,,,0,,,,0,,,,
COTTONWOOD CREEK,OR0027,24326,24750,,,,,0,,,,0,,,,
DIAMOND CRATERS,OR0031,41051,51938,,,,,0,,,,0,,,,
EAST KIGER (into OR0010),OR0020,8031,10556,,,,,0,,,,0,,,,
EAST WAGONTIRE,OR0034,111450,199079,,,,,0,,,,0,,,,
HEATH CREEK-SHEEPSHEAD (into OR0016),OR0004,62795,68527,,,,,0,,,,0,,,,
LAKERIDGE,OR0023,3964,4355,,,,,0,,,,0,,,,
MIDDLE FORK,OR0032,37498,43370,,,,,0,,,,0,,,,
MORGER,OR0030,20385,26854,,,,,0,,,,0,,,,
POTHOLES,OR0024,9252,10255,,,,,0,,,,0,,December 1990,,
PUEBLO-LONE MOUNTAIN,OR0036,233145,237130,,,,,0,,,,0,,November 1992,,
RHODES CANYON,OR0022,14696,38976,,,,,0,,,,0,,,,
SECOND FLAT,OR0033,9183,12190,,,,,0,,,,0,,,,
SMYTH CREEK (into OR0010),OR0038,18872,28845,,,,,0,,,,0,,,,
SOUTH CATLOW,OR0035,42080,97218,,,,,0,,,,0,,,,
STOCKADE,OR0029,32173,48203,,,,,0,,,,0,,,,
OUTSIDE HERD AREAS,OR000Z,,,,,,,10,,,,0,,April 1999,,
