HERD AREA NAME,Herd Code,HA BLM Acres,HA Total Acres,HMA BLM Acres,HMA Total Acres,Horse AML Low End (1),AML High End,Horse Pop,"% of  AML, Horse (5)",Burro AML Low End,End AML,Burro Pop,"% of  AML, Burro (5)",Population Inventory,Last Gather,Most Recent
GRANITE-PROVIDENCE MOUNTAINS,CA0693,174208,192740,,,,,0,,,,0,,,August 1999,
KRAMER,CA0682,5646,14024,,,,,0,,,,0,,,January 1990,
LAVA BEDS,CA0692,169131,177332,,,,,0,,,,0,,,May 1997,
MORONGO,CA0661,27441,39159,,,,,0,,,,0,,,February 1988,
NEW YEARS LAKE  (into CA0269),CA0260,284915,350225,,,,,86,,,,0,,,,
PALM CANYON,CA0662,2758,10162,,,,,0,,,,17,,,,
PANAMINT,CA0653,360419,414699,,,,,0,,,,83,,,September 2009,
PICACHO (within CA0671),CA0672,43633,46646,,,,,0,,,,0,,,November 2017,
PIUTE MOUNTAIN,CA0696,37333,39781,,,,,0,,,,83,,,October 1987,
SAND SPRING-LAST CHANCE,CA0657,233741,240993,,,,,0,,,,0,,,May 1995,
SLATE RANGE (8),CA0655,75713,512967,,,,,0,,,,332,,,September 2017,
TULEDAD (in CA0261 & CA0262),CA0270,130213,155327,,,,,0,,,,0,,,,
WOODS-HACKBERRY,CA0694,46351,56542,,,,,0,,,,0,,,December 1992,
OUTSIDE OF HERD AREAS (9),CA000Z,,,,,,,1078,,,,515,,,August 2017,
LITTLE BOOK CLIFFS WILD HORSE RANGE,CO0766,51040,52634,35178,36100,90,150,150,Within AML,0,0,0,,January 2017,September 2017,2016
PICEANCE-EAST DOUGLAS CREEK,CO0161,131018,160841,158332,190016,135,235,382,2,0,0,0,,February 2017,September 2017,2013
SAND WASH BASIN,CO0143,151435,156502,151435,156502,163,362,568,2,0,0,0,,February 2017,October 2008,2013
SPRING CREEK BASIN,CO0384,43045,54528,21043,21395,35,65,60,Within AML,0,0,0,,February 2017,September 2017,2016
DOUGLAS MOUNTAIN,CO0144,65741,117512,,,,,0,,,,0,,,January 1979,
NATURITA RIDGE,CO0345,53739,63204,,,,,0,,,,0,,,September 1985,
NORTH PICEANCE (in CO0161) (5),CO0163,104168,118405,,,,,43,,,,0,,,October 2017,
WEST DOUGLAS CREEK,CO0162,122909,127649,,,,,177,,,,0,,,September 2017,
OUTSIDE OF HERD AREAS (6),CO000Z,,,,,,,150,,,,0,,,September 2006,
BLACK MOUNTAIN,ID0006,47434,50904,47434,50904,30,60,40,Within AML,0,0,0,,February 2017,September 2017,2016
CHALLIS,ID0005,156545,167848,156545,167848,185,253,241,Within AML,0,0,0,,February 2017,October 2017,2016
FOUR MILE,ID0002,20457,25806,15441,18034,37,60,111,2,0,0,0,,February 2017,October 2009,2012
HARD TRIGGER,ID0007,62149,69910,60090,67882,66,130,5,0,0,0,0,,June 2017,October 2017,2016
SAND BASIN,ID0004,9392,11724,9392,11724,33,64,6,0,0,0,0,,June 2017,December 2017,2016
SAYLOR CREEK,ID0003,94992,101876,94992,101876,40,50,65,1,0,0,0,,February 2017,August 2017,2013
MORGAN CREEK,ID0009,21341,24067,,,,,0,,,,0,,,September 1982,
SHEEP MOUNTAIN,ID0008,210,14826,,,,,0,,,,0,,,,
WEST CRANE CREEK,ID0001,8263,10339,,,,,0,,,,0,,,September 1989,
OUTSIDE OF HERD AREAS,ID000Z,,,,,,,0,,,,0,,,January 2017,
DIAMOND (All claimed-not mapped),ID0010,,,,,,,,,,,,,,,
PRYOR MOUNTAIN WILD HORSE RANGE**,MT0251,28324,44920,27094,35640,90,120,160,1,0,0,0,,July 2017,August 2017,2009
BARTON GULCH,MT0253,8026,18349,,,,,0,,,,0,,,,
DEVILS FENCE,MT0254,16306,68031,,,,,0,,,,0,,,,
ERVIN RIDGE,MT0252,6586,11760,,,,,0,,,,0,,,,
GARDEN CREEK,MT0255,13253,26051,,,,,0,,,,0,,,,
ROCKY HILLS,MT0257,25320,39007,,,,,0,,,,0,,,,
SWEETWATER,MT0256,6029,21955,,,,,0,,,,0,,,,
OUTSIDE OF HERD AREAS,MT000Z,,,,,,,0,,,,0,,,September 2009,
AMARGOSA VALLEY,NV0511,8124,8819,8124,8819,0,0,0,,0,0,0,,April 1990,October 1989,2016
ANTELOPE (from NV0490 & NV0495) (3),NV0401,0,0,327385,399761,150,324,861,3,0,0,0,,March 2017,November 2017,2012
ANTELOPE VALLEY (from NV0106),NV0107,414816,417092,496167,504714,155,259,1100,4,0,0,0,,February 2017,October 2017,2005
ASH MEADOWS,NV0509,96448,115143,96448,115143,0,0,0,,0,0,0,,December 1993,December 1993,2016
AUGUSTA MOUNTAINS,NV0311,311726,315857,176208,177570,185,308,475,2,0,0,0,,January 2017,February 2017,2011
BALD MOUNTAIN,NV0603,139693,139875,139693,139875,129,215,330,2,0,0,0,,September 2017,December 2017,2013
BLACK ROCK RANGE (original name Black,NV0209,91191,93438,185478,183520,112,186,456,2,0,0,0,,June 2017,January 2017,2015
BLUE WING MOUNTAINS,NV0217,17854,17854,17854,17854,22,36,0,0,17,28,15,1,January 2017,November 2005,2016
BUFFALO HILLS,NV0220,125207,131861,125207,131861,188,314,635,2,0,0,25,,May 2017,January 2009,2002
BULLFROG,NV0629,146701,157180,146701,157180,0,0,0,,55,91,204,2,January 2017,September 2017,2014
CALICO MOUNTAINS,NV0222,158086,160831,158086,160831,200,333,511,2,0,0,0,,June 2017,December 2017,2013
CALLAGHAN (from NV0687 & NV0689) (3),NV0604,0,0,152726,156156,134,237,387,2,0,0,0,,September 2017,January 2017,2012
CLAN ALPINE,NV0310,298064,302226,298064,302226,612,979,685,Within AML,0,0,0,,October 2017,October 2006,2016
DESATOYA (from NV0688),NV0606,21699,22399,157838,161678,127,180,397,2,0,0,0,,January 2017,August 2017,2013
DIAMOND (13),NV0609,169028,211974,145341,166632,91,151,265,2,0,0,0,,February 2017,February 2017,2013
DIAMOND HILLS NORTH,NV0104,70531,71534,70531,71564,22,37,150,4,0,0,0,,February 2017,January 2017,2013
DIAMOND HILLS SOUTH (original name,NV0412,20288,20288,20082,20082,10,22,125,6,0,0,0,,February 2017,January 2017,2004
DOGSKIN MOUNTAINS,NV0302,6497,6523,6497,6523,10,15,44,3,0,0,0,,May 2017,August 1994,2004
EAGLE (from NV0404 & NV0521) (3),NV0414,0,0,659188,660610,100,210,1322,6,0,0,0,,February 2017,February 2017,2011
EL DORADO MOUNTAINS,NV0501,15120,96224,15120,16525,0,0,0,,0,0,0,,March 2007,September 2000,2016
FISH CREEK (from NV0698),NV0612,246786,250966,250244,252771,107,180,421,2,0,0,0,,February 2017,February 2017,2012
FISH LAKE VALLEY** (13),NV0622,64007,67085,64007,67085,32,54,82,2,0,0,0,,November 2017,August 2017,2012
FLANIGAN,NV0301,16319,17147,16319,17147,80,124,178,1,0,0,0,,July 2017,January 2017,2013
FORT SAGE (4),NV0320,1939,1950,1939,1950,29,36,70,2,0,0,0,,May 2017,September 1998,2001
FOX-LAKE RANGE,NV0228,172692,177724,172692,177724,122,204,586,3,0,0,0,,July 2008,July 2008,2010
GARFIELD FLAT,NV0313,125420,142716,125420,142716,83,125,179,1,0,0,0,,May 2017,February 2017,2014
GOLD BUTTE,NV0502,170354,271772,170354,178564,0,0,0,,22,98,368,4,March 2017,March 2007,2007
GOLD MOUNTAIN,NV0628,106522,107638,106522,107638,0,0,8,,47,78,1,0,September 2006,August 2017,2001
GOLDFIELD,NV0626,53391,62794,52965,62367,0,0,38,,22,37,47,1,February 2017,November 1996,1996
GOSHUTE,NV0108,290923,303171,266045,267277,74,123,904,7,0,0,0,,March 2017,February 2017,2011
GRANITE PEAK,NV0303,3981,4001,3981,4001,11,18,30,2,0,0,0,,May 2017,January 2017,2013
GRANITE RANGE,NV0221,92016,103804,92016,103804,155,258,269,1,0,0,0,,June 2017,December 2017,2015
HORSE MOUNTAIN (13),NV0308,49572,49779,49572,49779,78,118,0,0,0,0,0,,November 2003,,2016
HOT CREEK (13),NV0616,81725,82230,54238,54671,25,41,43,1,0,0,0,,March 2017,December 2004,2015
JACKSON MOUNTAINS,NV0208,276634,283775,276634,283775,130,217,510,2,0,0,0,,May 2017,July 2017,2007
JOHNNIE** (from NV0527 & NV0508) (3),NV0510,0,0,177237,179368,0,0,43,,65,108,199,2,May 2017,December 2017,2007
KAMMA MOUNTAINS,NV0214,54410,57390,54410,57390,46,77,153,2,0,0,0,,January 2017,August 2017,2006
LAHONTAN,NV0306,6937,9578,6937,9578,7,10,101,10,0,0,0,,May 2017,November 2017,2004
LAVA BEDS,NV0215,232940,233000,232940,233000,89,148,386,3,10,16,350,22,January 2017,December 2005,2006
LITTLE FISH LAKE** (13),NV0614,135698,139341,28122,28744,24,39,72,2,0,0,0,,March 2017,February 2017,2006
LITTLE HUMBOLDT,NV0102,52367,63916,15741,17152,48,80,29,1,0,0,0,,September 2017,July 2017,2016
LITTLE OWYHEE,NV0200,452518,460284,452518,460284,194,298,1316,4,0,0,0,,September 2017,December 2017,2013
MARIETTA WILD BURRO RANGE,NV0316,64466,66045,64466,66045,0,0,101,,78,104,308,3,May 2017,August 1999,2001
MAVERICK-MEDICINE (from NV0106),NV0105,247817,251241,318760,323562,166,276,1155,4,0,0,0,,February 2017,August 2017,2006
MCGEE MOUNTIAN,NV0210,41160,41160,41160,41160,0,0,0,,25,41,36,,July 2017,September 2017,2016
MONTEZUMA PEAK (13),NV0625,76437,77876,76437,77876,2,4,64,16,6,10,112,11,November 2017,September 2017,2001
MUDDY MOUNTAINS,NV0503,77196,187798,77196,78705,0,0,8,,0,0,0,,March 2017,March 2007,2007
NEVADA WILD HORSE RANGE,NV0524,0,1301637,0,1301637,300,500,720,1,0,0,52,,September 2017,July 2008,2013
NEW PASS-RAVENSWOOD (13),NV0602,284475,285878,284475,285878,340,566,637,1,0,0,0,,September 2017,January 2017,2013
NORTH STILLWATER,NV0229,176800,178927,176800,178927,138,205,528,3,0,0,1,,May 2017,July 2008,2011
OWYHEE,NV0101,336233,339103,336233,339103,139,231,242,1,0,0,0,,September 2017,January 2017,2015
PALMETTO,NV0624,115359,118273,115359,118273,46,76,7,0,0,0,0,,November 2017,August 1996,2016
PANCAKE** (from NV0402 & NV0405) (3),NV0415,0,0,849613,849922,240,493,1800,4,0,0,0,,February 2017,September 2017,
PAYMASTER (original name Paymaster-Lone,NV0621,98810,100590,98810,100590,23,38,25,Within AML,0,0,28,,November 2017,September 2017,2014
PILOT MOUNTAIN (from NV0315 & NV0690),NV0314,129703,130499,475440,477133,249,415,576,1,0,0,0,,October 2017,July 2006,2012
PINE NUT MOUNTAINS,NV0305,183479,251792,95391,104316,118,179,336,2,0,0,0,,October 2017,May 2017,2011
RED ROCK** (from NV0525)(original name,NV0504,0,0,157443,161969,16,27,125,5,29,49,70,1,May 2017,September 2017,2007
REVEILLE (13),NV0619,387676,389050,104500,105499,82,138,154,1,0,0,0,,February 2017,November 2017,2015
ROBERTS MOUNTAIN (13),NV0607,221922,225906,99321,99988,90,150,560,4,0,0,0,,September 2017,January 2008,2008
ROCK CREEK,NV0103,144907,183500,98185,121434,150,250,457,2,0,0,0,,September 2017,July 2017,2007
ROCKY HILLS (original name North Simpson,NV0605,81435,83988,81435,83988,90,143,243,2,0,0,0,,September 2017,December 2017,2014
SAND SPRINGS WEST,NV0630,168189,168189,152277,152277,29,49,230,5,0,0,0,,February 2017,January 2017,2006
SAULSBURY**,NV0620,142743,144240,134508,135081,24,40,253,6,0,0,0,,February 2017,February 2017,2007
SEVEN MILE** (original name Antelope (HA)),NV0613,103998,104878,96772,97654,30,50,172,3,0,0,0,,April 2017,February 2006,2006
SEVEN TROUGHS,NV0216,131413,148884,131413,148884,94,156,503,3,28,46,107,2,January 2017,December 2005,2006
SHAWAVE MOUNTAINS (7),NV0218,102837,107081,177204,139552,82,136,831,6,0,0,89,,January 2017,November 2005,2006
"SILVER KING (from NV0410, NV0522, &",NV0416,0,0,574962,575460,60,128,912,7,0,0,0,,February 2017,February 2017,
SILVER PEAK (13),NV0623,239801,242462,239801,242462,0,0,120,,4,6,0,0,November 2017,October 2006,2007
SNOWSTORM MOUNTAINS,NV0201,103802,117109,103802,117109,90,140,279,2,0,0,0,,September 2017,September 2006,2006
SOUTH SHOSHONE,NV0601,147923,150917,132401,133093,60,100,560,6,0,0,0,,September 2017,January 2009,2008
SOUTH STILLWATER,NV0309,9773,9773,9773,9773,8,16,24,2,0,0,0,,July 2017,,2010
SPRUCE-PEQUOP,NV0109,312490,328944,234975,240744,49,82,1021,12,0,0,0,,March 2017,August 2017,2005
STONE CABIN**(from NV0699),NV0618,281913,285854,402567,407706,218,364,560,2,0,0,0,,February 2017,February 2017,2015
STONEWALL (13),NV0627,23780,23887,23780,23887,0,0,0,,5,8,35,4,February 2017,June 1986,2001
TOBIN RANGE,NV0231,186654,198236,186654,198236,25,42,22,1,0,0,0,,January 2017,November 2009,2016
"TRIPLE B** (from NV0403, NV0407, &",NV0417,0,0,1230579,1232494,250,518,1600,3,0,0,0,,February 2017,October 2017,2013
WARM SPRINGS CANYON,NV0226,91105,91710,91105,91710,105,175,272,2,14,24,43,2,June 2017,December 2017,2012
WASSUK,NV0312,51626,51743,51626,51743,109,165,100,1,0,0,0,,November 2017,November 2017,2016
WHEELER PASS** (from NV0525) (3),NV0507,0,0,273898,275575,47,66,25,1,20,35,190,5,May 2017,September 2017,2008
WHISTLER MOUNTAIN (from NV0698) (3),NV0608,0,0,42660,43245,14,24,27,1,0,0,0,,September 2017,January 2008,2014
HICKISON SUMMIT*,NV0610,57275,57275,57275,57275,0,0,0,,16,45,50,1,March 2017,,
MONTGOMERY PASS*,NV0317,84500,87339,49023,50815,64,81,198,2,0,0,0,,November 2017,September 1998,
NORTH MONITOR* (13),NV0611,11277,11512,11277,11512,6,8,73,9,0,0,0,,March 2017,February 2006,2006
ANTELOPE RANGE,NV0211,82071,131581,,,,,38,,,,0,,,October 1999,
APPLEWHITE,NV0518,30646,30968,,,,,15,,,,0,,,October 2009,
AUSTIN (into NV0604),NV0687,84223,85794,,,,,0,,,,0,,,,
BLACK ROCK RANGE WEST (6),NV0227,94287,96543,,,,,0,,,,0,,,December 2017,
BLOODY RUNS,NV0204,44896,74097,,,,,0,,,,0,,,October 1996,
BLUE DIAMOND (in NV0525) (9),NV0505,,0,,,,,0,,,,0,,,,
BLUE NOSE PEAK,NV0514,84627,84788,,,,,57,,,,0,,,October 2009,
BUCK-BALD (into NV0417),NV0403,309106,322003,,,,,0,,,,0,,,August 2006,
BULTER BASIN*,NV0686,10345,10345,,,,,0,,,,0,,,,
BUTTE (from NV0406; into NV0417) (11),NV0407,0,0,,,,,0,,,,0,,,August 2006,
CAVE VALLEY (in NV0410),NV0493,76376,76415,,,,,0,,,,0,,,,
CHERRY CREEK  (into NV0417) (original,NV0406,472429,481287,,,,,38,,,,0,,,February 1987,
CLOVER CREEK,NV0517,33187,33420,,,,,88,,,,0,,,October 2009,
CLOVER MOUNTAINS,NV0516,172733,173088,,,,,311,,,,0,,,October 2009,
DEER LODGE CANYON (into NV0414),NV0521,107988,109753,,,,,0,,,,0,,,March 2007,
DELAMAR MOUNTAINS,NV0515,184377,185843,,,,,455,,,,0,,,February 2017,
DOBBIN SUMMIT***,NV0615,19190,19309,,,,,0,,,,0,,,,
DRY LAKE (into NV0416),NV0410,415017,417957,,,,,0,,,,0,,,December 2006,
DUNLAP (into NV0314),NV0690,218953,219073,,,,,0,,,,0,,,,
EAST RANGE,NV0225,321328,451904,,,,,46,,,,0,,,November 2001,
EUGENE MOUNTAINS,NV0207,49215,86093,,,,,0,,,,0,,,June 1993,
FORTIFICATION (into NV0404),NV0496,337176,344655,,,,,0,,,,0,,,,
GABBS VALLEY RANGE (into NV314),NV0315,126784,127562,,,,,0,,,,0,,,November 1987,
GOLDEN GATE (into NV0411),NV0494,96247,97131,,,,,0,,,,0,,,,
GOSHUTE (in NV0401),NV0495,93086,93103,,,,,0,,,,0,,,,
GRASS VALLEY (into NV0604),NV0689,68503,70361,,,,,0,,,,0,,,,
HIGHLAND PEAK (into NV0416),NV0522,135986,137874,,,,,0,,,,0,,,September 2008,
HORSE SPRING,NV0307,15302,25695,,,,,0,,,,0,,,July 2000,
HOT SPRINGS MOUNTAINS,NV0203,47873,68179,,,,,0,,,,0,,,,
HUMBOLDT,NV0224,219075,431545,,,,,29,,,,0,,,February 2017,
IONE,NV0691,168445,168974,,,,,29,,,,0,,,,
JAKES WASH***(8),NV0408,153662,153662,,,,,149,,,,0,,,January 2017,
KOBEH VALLEY (into NV0608 & NV0612),NV0698,91084,93613,,,,,0,,,,0,,,,
KRUM HILLS,NV0206,38107,64192,,,,,0,,,,0,,,December 1985,
LAST CHANCE (into NV0510),NV0527,138036,161986,,,,,0,,,,0,,,,
LITTLE MOUNTAIN,NV0519,53088,53258,,,,,22,,,,0,,,September 2008,
LOWER PARADISE VALLEY,NV0233,16130,44896,,,,,0,,,,0,,,,
LUCKY STRIKE (in NV0525) (9),NV0526,,0,,,,,0,,,,0,,,,
MAVRICK-BUTTE (into NV0403),NV0491,513667,517007,,,,,0,,,,0,,,,
MEADOW VALLEY MOUNTAINS,NV0513,95975,97448,,,,,204,,,,0,,,October 2009,
MILLER FLAT,NV0520,91756,92124,,,,,148,,,,0,,,July 2017,
MONTE CRISTO (into NV0415),NV0402,372780,378570,,,,,0,,,,0,,,January 2006,
MORIAH***,NV0413,43370,43405,,,,,209,,,,0,,,August 2017,
MORMON MOUNTAINS,NV0512,136793,136987,,,,,3,,,,0,,,January 1998,
MOUNT AIRY,NV0695,64812,67575,,,,,39,,,,0,,,,
MOUNT POTOSI (in NV0525) (9),NV0506,,,,,,,0,,,,0,,,,
MOUNT STERLING (into NV0510),NV0508,79336,80679,,,,,0,,,,0,,,March 1999,
MURPHYS WASH (10),NV0452,98120,175926,,,,,0,,,,0,,,,
NIGHTENGALE MOUNTAINS (7),NV0219,74367,76439,,,,,0,,,,0,,,November 2005,
NORTH CHERRY CREEK (in NV0105 &,NV0106,152294,158161,,,,,0,,,,0,,,December 1996,
NORTH SHOSHONE,NV0697,103937,175130,,,,,17,,,,0,,,,
OSGOOD MOUNTAINS,NV0202,83997,142122,,,,,365,,,,0,,,,
PAH RAH MOUNTAINS (11),NV0304,11067,23522,,,,,0,,,,0,,,August 1985,
PARK MOUNTAIN,NV0694,34010,34065,,,,,35,,,,0,,,,
PATTERSON-EAGLE (into NV0404),NV0492,332059,342499,,,,,0,,,,0,,,,
POWELL MOUNTAIN*,NV0318,27248,30423,,,,,0,,,,0,,,,
QUINN***,NV0696,103960,105708,,,,,0,,,,0,,,,
RATTLESNAKE (into NV0416),NV0523,71432,71432,,,,,0,,,,0,,,,
SAND SPRINGS EAST (into NV0415),NV0405,480437,480983,,,,,0,,,,0,,,January 2006,
SCHELL CREEK (into NV0401),NV0490,299432,306658,,,,,0,,,,0,,,,
SEAMAN RANGE,NV0411,263105,264104,,,,,29,,,,0,,,July 2017,
SELENITE RANGE,NV0212,123496,125306,,,,,36,,,,17,,,August 1998,
SLUMBERING HILLS,NV0205,46055,46455,,,,,0,,,,0,,,,
SMITH CREEK (into NV0606),NV0688,136139,139279,,,,,0,,,,0,,,,
SONOMA RANGE,NV0223,150095,212587,,,,,186,,,,0,,,April 1987,
SOUTH PANCAKE,NV0692,75109,75109,,,,,0,,,,0,,,,
SOUTH SLUMBERING HILLS,NV0230,21341,30096,,,,,0,,,,0,,,December 1985,
SPRING MOUNTAIN (in NV0504 & NV0507),NV0525,773583,795515,,,,,0,,,,0,,,,
TOANO,NV0110,43811,67680,,,,,0,,,,0,,,October 1993,
TRINITY RANGE,NV0232,105621,161456,,,,,28,,,,130,,,August 1998,
TRUCKEE RANGE,NV0213,91974,171213,,,,,46,,,,45,,,,
TULE RIDGE/MAHOGANY FLAT,NV0319,4160,4404,,,,,0,,,,0,,,,
UPPER HOT CREEK,NV0693,92200,93262,,,,,52,,,,0,,,,
WHITE RIVER,NV0409,118627,118627,,,,,224,,,,0,,,September 2009,
WILLOW CREEK (in NV0618),NV0699,98252,99246,,,,,0,,,,0,,,,
WILSON CREEK (from into NV0414) (11),NV0404,0,0,,,,,0,,,,0,,,February 2007,
OUTSIDE OF HERD AREAS (12),NV000Z,,,,,,,400,,,,30,,,August 2017,
BORDO ATRAVESADO,NM0001,16487,19614,16487,19614,40,60,79,1,0,0,0,,,,
CARRACAS MESA* (original name Rosa Community),NM0003,8019,8999,8019,8999,18,23,92,4,0,0,0,,July 2017,June 2017,2014
GODFREY HILLS,NM0002,9407,27108,0,0,,,0,,,,0,,April 2017,September 2017,2012
PUNCHE VALLEY,NM0004,54742,70809,0,0,,,0,,,,0,,,,
OUTSIDE OF HERD AREAS,NM000Z,,,0,0,,,0,,,,0,,,April 1995,
BEATYS BUTTE,OR0002,399725,438140,399725,438140,100,250,100,Within AML,0,0,0,,November 2017,December 2017,2016
COLD SPRING,OR0013,29889,32664,29889,32664,75,150,256,2,0,0,0,,July 2017,July 2017,2013
COYOTE LAKE/ALVORD TULE SPRINGS (4),OR0014,237958,253389,584854,588432,198,390,330,Within AML,0,0,0,,June 2017,September 2017,2016
HOG CREEK,OR0011,21819,22381,21819,22381,30,50,74,1,0,0,0,,July 2017,November 2009,2013
JACKIES BUTTE,OR0015,120751,123766,65211,65251,75,150,90,Within AML,0,0,0,,June 2017,August 2017,2016
KIGER (from OR0020 & OR0038),OR0010,840,0,19998,30305,51,82,49,1,0,0,0,,September 2017,September 2017,2016
LIGGETT TABLE,OR0037,28098,28849,28098,28849,10,25,42,2,0,0,0,,August 2009,September 2009,2013
PAISLEY DESERT,OR0001,327895,335445,297552,303718,60,150,430,3,0,0,0,,August 2017,August 2017,2014
PALOMINO BUTTES,OR0006,86191,98810,72359,74234,32,64,131,2,0,0,0,,June 2017,October 2017,2012
POKEGAMA,OR0018,16279,84963,16279,84963,30,50,85,2,0,0,0,,August 2017,,2015
RIDDLE MOUNTAIN,OR0009,76311,85231,28331,32666,33,56,33,Within AML,0,0,0,,September 2017,September 2017,2016
SAND SPRINGS,OR0017,193532,207253,193532,207253,100,200,170,Within AML,0,0,0,,June 2017,September 2017,2016
SHEEPSHEAD/HEATH CREEK (3),OR0016,136053,136749,198848,205275,161,302,402,1,0,0,0,,June 2017,September 2017,2015
SOUTH STEENS,OR0003,187502,280715,127608,134459,159,304,632,2,0,0,0,,June 2017,November 2009,2012
STINKINGWATER,OR0008,78312,92086,78312,92086,40,80,227,3,0,0,0,,September 2017,August 2017,2014
THREE FINGERS,OR0012,82929,92681,62513,71486,75,150,156,1,0,0,0,,July 2017,August 2017,2015
WARM SPRINGS,OR0007,474396,499457,474396,499457,111,202,442,2,20,25,56,2,September 2017,January 2017,2014
MURDERERS CREEK*,OR0019,34253,67132,34253,67132,13,35,88,3,0,0,0,,February 2017,July 2017,2005
ALVORD TULE SPRINGS,OR0005,346896,364479,,,,0,,,,0,,,February 2001,,
ATTURBURY,OR0028,7906,9613,,,,,0,,,,0,,,,
BASQUE,OR0025,8676,9379,,,,,0,,,,0,,,,
CHERRY CREEK,OR0021,35744,138886,,,,,0,,,,0,,,,
COTTONWOOD BASIN,OR0026,7804,8042,,,,,0,,,,0,,,,
COTTONWOOD CREEK,OR0027,24326,24750,,,,,0,,,,0,,,,
DIAMOND CRATERS,OR0031,41051,51938,,,,,0,,,,0,,,,
