HERD AREA NAME,Herd Code ,HERD AREA BLM Acres,HERD AREA Total Acres,HERD MANAGEMENT AREA  BLM Acres ,HERD MANAGEMENT AREA Total Acres,Horse AML Low End,Horse AML High End,Horse Pop,% AML Horse,Burro AML Low End,Burro AML High End,Burro Pop,Burro % of AML,Population Inventory,Most Recent Gather,Most Recent Year at AML
CONTINENTAL PEAK (in WY0002 & WY0035),WY0043,366152,27926,,,,,0,,,,0,,,,
COPPER MOUNTAIN,WY0041,20029,8962,,,,,0,,,,0,,,,
CUMBERLAND,WY0015,241462,180995,,,,,0,,,,0,,,April 1990,
CYCLONE RIM (in WY0035),WY0010,0,0,,,,,0,,,,0,,,,
DEER CREEK,WY0024,6477,54767,,,,,0,,,,0,,,,
DESERT,WY0004,152386,8116,,,,,0,,,,0,,,November 2001,
DOTY MOUNTAIN/CHEROKEE,WY0032,243326,205909,,,,,0,,,,0,,,,
EAST BEAVER,WY0030,31390,6244,,,,,0,,,,0,,,,
FOSTER GULCH/DRY CREEK,WY0023,110938,6576,,,,,0,,,,0,,,,
GOLD CREEK,WY0014,29737,9902,,,,,0,,,,0,,,,
GRANGER LEASE,WY0005,171443,199015,,,,,0,,,,0,,,April 1986,
LA BARGE,WY0006,133030,21233,,,,,0,,,,0,,,July 1988,
NORTH GRANGER,WY0018,132366,96887,,,,,0,,,,0,,,,
NORTH SHOSHONE,WY0019,20342,4452,,,,,0,,,,0,,,,
"ROCK SPRINGS (in WY0009, WY0002, WY0003, WY0001)",WY0038,156084,208520,,,,,0,,,,0,,,,
SAND CREEK EAST (in WY0009),WY0042,168848,13091,,,,,0,,,,0,,,,
SAND CREEK WEST (in WY0009),WY0044,18649,3338,,,,,0,,,,0,,,,
SAND DRAW,WY0021,13758,1561,,,,,0,,,,0,,,,
SLATE CREEK,WY0016,173979,32473,,,,,0,,,,0,,,,
TRIANGLE,WY0013,295057,39496,,,,,0,,,,0,,,,
ZIMMERMAN SPRINGS,WY0022,11524,760,,,,,0,,,,0,,,,
OUTSIDE OF HERD AREAS,WY000Z,,,,,,,100,,,,0,,,September 2007,
