HERD AREA NAME,Herd Code ,HERD AREA BLM Acres,HERD AREA Total Acres,HERD MANAGEMENT AREA  BLM Acres ,HERD MANAGEMENT AREA Total Acres,Horse AML Low End,Horse AML High End,Horse Pop,% AML Horse,Burro AML Low End,Burro AML High End,Burro Pop,Burro % of AML,Population Inventory,Most Recent Gather,Most Recent Year at AML
SAND BASIN,ID0004,9392,11724,9392,11724,64,,33,,0,,0,,,October 2009,2010
SAYLOR CREEK,ID0003,94992,101876,94992,101876,50,,168,,0,,0,,,February 2006,2005
MORGAN CREEK,ID0009,21341,24067,,,,,0,,,,0,,,,
SHEEP MOUNTAIN,ID0008,210,14826,,,,,0,,,,0,,,,
WEST CRANE CREEK,ID0001,8263,10339,,,,,0,,,,0,,,September 1989,
OUTSIDE OF HERD AREAS,ID000Z,,,,,,,0,,,,0,,,,
DIAMOND (All claimed-not mapped),ID0010,,,,,,,,,,,,,,,
PRYOR MOUNTAIN WILD HORSE RANGE**,MT0251,28324,44920,24641,33187,120,,140,,0,,0,,,September 2009,2009
BARTON GULCH,MT0253,8026,18349,,,,,0,,,,0,,,,
DEVILS FENCE,MT0254,16306,68031,,,,,0,,,,0,,,,
ERVIN RIDGE,MT0252,6586,11760,,,,,0,,,,0,,,,
GARDEN CREEK,MT0255,13253,26051,,,,,0,,,,0,,,,
ROCKY HILLS,MT0257,25320,39007,,,,,0,,,,0,,,,
SWEETWATER,MT0256,6029,21955,,,,,0,,,,0,,,,
OUTSIDE OF HERD AREAS,MT000Z,,,,,,,10,,,,0,,,September 2009,
AMARGOSA VALLEY,NV0511,8124,8819,8124,8819,0,,0,,0,,0,,,October 1989,2010
ANTELOPE (from NV0490 & NV0495),NV0401,0,0,327385,399761,324,,365,,0,,0,,,January 2008,2008
ANTELOPE VALLEY (from NV0106),NV0107,414816,417092,496167,504714,259,,620,,0,,0,,,January 2005,2005
ASH MEADOWS,NV0509,96448,115143,96448,115143,0,,0,,0,,0,,,December 1993,2010
AUGUSTA MOUNTAINS,NV0311,311726,315857,176208,177570,308,,237,,0,,0,,,November 2007,2010
BALD MOUNTAIN,NV0603,139693,139875,139693,139875,215,,144,,0,,0,,,January 2009,2010
BLACK ROCK RANGE EAST,NV0209,91191,93438,91191,93438,93,,57,,0,,0,,,January 2010,2010
BLACK ROCK RANGE WEST,NV0227,94287,96543,94287,96543,93,,60,,0,,0,,,February 2010,2010
BLUE WING MOUNTAINS,NV0217,17854,17854,17854,17854,36,,42,,28,,21,,,November 2005,2006
BUFFALO HILLS,NV0220,125207,131861,125207,131861,314,,346,,0,,0,,,January 2009,2002
BULLFROG,NV0629,146701,157180,146701,157180,0,,0,,91,,120,,,July 1998,1998
CALICO MOUNTAINS,NV0222,158086,160831,158086,160831,333,,323,,0,,0,,,February 2010,2010
CALLAGHAN (from NV0687 & NV0689),NV0604,0,0,152726,156156,237,,238,,0,,0,,,January 2009,2010
CLAN ALPINE,NV0310,298064,302226,298064,302226,979,,657,,0,,0,,,October 2006,2010
DESATOYA (from NV0688),NV0606,21699,22399,157838,161678,180,,396,,0,,0,,,February 2004,2004
DIAMOND,NV0609,169028,211974,145341,166632,151,,200,,0,,0,,,July 2004,2004
DIAMOND HILLS NORTH,NV0104,70531,71534,70531,71564,37,,127,,0,,0,,,July 2004,2004
DIAMOND HILLS SOUTH (original name Railroad Pass),NV0412,20288,20288,20082,20082,22,,171,,0,,0,,,July 2004,2004
DOGSKIN MOUNTAINS,NV0302,6497,6523,6497,6523,15,,35,,0,,0,,,December 2005,2006
EAGLE (from NV0404 & NV0521),NV0414,0,0,659188,660610,210,,606,,0,,0,,,September 2000,2010
EL DORADO MOUNTAINS,NV0501,15120,96224,15120,16525,0,,0,,0,,0,,,February 2006,2010
FISH CREEK (from NV0698),NV0612,246786,250966,250244,252771,180,,139,,0,,0,,,February 2005,2010
FISH LAKE VALLEY**,NV0622,64007,67085,64007,67085,54,,15,,0,,0,,,October 2006,2001
FLANIGAN,NV0301,16319,17147,16319,17147,125,,151,,0,,0,,,,
FORT SAGE,NV0320,1939,1950,1939,1950,36,,0,,0,,0,,,July 2008,2010
FOX-LAKE RANGE,NV0228,172692,177724,172692,177724,204,,205,,0,,0,,,October 2009,2010
GARFIELD FLAT,NV0313,125420,142716,125420,142716,125,,89,,0,,0,,,,
GOLD BUTTE,NV0502,170354,271772,170354,178564,0,,0,,98,,107,,,March 2007,2007
GOLD MOUNTAIN,NV0628,106522,107638,106522,107638,0,,6,,78,,1,,,August 1996,2001
GOLDFIELD,NV0626,53391,62794,52965,62367,0,,17,,37,,23,,,November 1996,1996
GOSHUTE,NV0108,290923,303171,266045,267277,123,,399,,0,,0,,,January 2005,2007
GRANITE PEAK,NV0303,3981,4001,3981,4001,18,,58,,0,,0,,,January 2010,2004
GRANITE RANGE,NV0221,92016,103804,92016,103804,258,,168,,0,,0,,,February 2005,2010
HORSE MOUNTAIN,NV0308,49572,49779,49572,49779,95,,0,,0,,0,,,,2010
HOT CREEK,NV0616,81725,82230,54238,54671,41,,15,,0,,0,,,December 2004,2010
JACKSON MOUNTAINS,NV0208,276634,283775,276634,283775,217,,410,,0,,0,,,September 2007,2007
JOHNNIE** (from NV0527 & NV0508),NV0510,0,0,177237,179368,0,,77,,108,,158,,,January 2007,2007
KAMMA MOUNTAINS,NV0214,54410,57390,54410,57390,77,,97,,0,,0,,,December 2005,2006
LAHONTAN,NV0306,6937,9578,6937,9578,10,,104,,0,,0,,,February 2004,2004
LAVA BEDS,NV0215,232940,233000,232940,233000,148,,185,,16,,20,,,December 2005,2006
LITTLE FISH LAKE**,NV0614,135698,139341,28122,28744,39,,91,,0,,0,,,February 2006,2006
LITTLE HUMBOLDT,NV0102,52367,63916,15741,17152,80,,72,,0,,0,,,September 2006,2010
LITTLE OWYHEE,NV0200,452518,460284,452518,460284,298,,672,,0,,0,,,November 2004,2004
MARIETTA WILD BURRO RANGE,NV0316,64466,66045,64466,66045,0,,0,,104,,110,,,August 1999,2001
MAVERICK-MEDICINE (from NV0106),NV0105,247817,251241,318760,323562,276,,863,,0,,0,,,August 2006,2006
MCGEE MOUNTIAN,NV0210,41160,41160,41160,41160,0,,0,,41,,96,,,March 2006,2006
MONTEZUMA PEAK,NV0625,76437,77876,76437,77876,0,,70,,0,,28,,,November 1996,2001
MUDDY MOUNTAINS,NV0503,77196,187798,77196,78705,0,,4,,0,,0,,,March 2007,2007
NEVADA WILD HORSE RANGE,NV0524,0,1301637,0,1301637,500,,180,,0,,27,,,July 2008,2004
NEW PASS-RAVENSWOOD,NV0602,284475,285878,284475,285878,566,,456,,0,,0,,,November 2007,2010
NIGHTENGALE MOUNTAINS,NV0219,74367,76439,74367,76439,63,,84,,0,,4,,,December 2005,2006
NORTH STILLWATER,NV0229,176800,178927,176800,178927,205,,180,,0,,1,,,July 2008,2010
OWYHEE,NV0101,336233,339103,336233,339103,231,,612,,0,,0,,,September 2006,2006
PALMETTO,NV0624,115359,118273,115359,118273,76,,0,,0,,0,,,August 1996,2010
PANCAKE** (from NV0402 & NV0405),NV0415,0,0,849613,849922,493,,1076,,0,,0,,,October 2006,2008
PAYMASTER (original name Paymaster- Lone Mountain),NV0621,98810,100590,98810,100590,38,,59,,0,,0,,,January 2005,2010
PILOT MOUNTAIN (from NV0315 & NV0690),NV0314,129703,130499,475440,477133,415,,326,,0,,0,,,September 2009,2009
PINE NUT MOUNTAINS,NV0305,183479,251792,95391,104316,179,,215,,0,,0,,,January 2007,2007
RED ROCK** (from NV0525)(original name Red Rock-Bird Springs),NV0504,0,0,157443,161969,27,,35,,49,,54,,,July 2007,2009
REVEILLE,NV0619,387676,389050,104500,105499,138,,231,,0,,0,,,,
ROBERTS MOUNTAIN,NV0607,221922,225906,99321,99988,150,,186,,0,,0,,,January 2008,2008
ROCK CREEK,NV0103,144907,183500,98185,121434,250,,527,,0,,10,,,May 2007,2007
ROCKY HILLS (original name North Simpson Park),NV0605,81435,83988,81435,83988,143,,149,,0,,0,,,January 2009,2010
SAND SPRINGS WEST,NV0630,168189,168189,152277,152277,49,,246,,0,,0,,,January 2006,2006
SAULSBURY**,NV0620,142743,144240,134508,135081,40,,149,,0,,0,,,February 2007,2007
SEVEN MILE** (original name Antelope (HA)),NV0613,103998,104878,96772,97654,50,,138,,0,,0,,,August 2005,2006
SEVEN TROUGHS,NV0216,131413,148884,131413,148884,156,,197,,46,,58,,,December 2005,2006
SHAWAVE MOUNTAINS,NV0218,102837,107081,102837,107081,73,,93,,0,,0,,,November 2005,2006
"SILVER KING (from NV0410, NV0522, & NV0523)",NV0416,0,0,574962,575460,128,,505,,0,,0,,,October 2006,2007
SILVER PEAK,NV0623,239801,242462,239801,242462,0,,2,,0,,2,,,October 2006,2006
SNOWSTORM MOUNTAINS,NV0201,103802,117109,103802,117109,140,,269,,0,,0,,,January 2009,2008
SOUTH SHOSHONE,NV0601,147923,150917,132401,133093,100,,187,,0,,0,,,,2010
SOUTH STILLWATER,NV0309,9773,9773,9773,9773,16,,16,,0,,0,,,January 2005,2005
SPRUCE-PEQUOP,NV0109,312490,328944,234975,240744,82,,313,,0,,0,,,February 2007,2010
STONE CABIN**(from NV0699),NV0618,281913,285854,402567,407706,364,,397,,0,,0,,,June 1986,2001
STONEWALL,NV0627,23780,23887,23780,23887,0,,0,,8,,23,,,November 2009,2010
TOBIN RANGE,NV0231,186654,198236,186654,198236,42,,42,,0,,0,,,February 2010,2005
"TRIPLE B** (from NV0403, NV0407, & NV0406)",NV0417,0,0,1230579,1232494,518,,667,,0,,0,,,,2003
WARM SPRINGS CANYON,NV0226,91105,91710,91105,91710,175,,511,,24,,26,,,January 2007,2008
WASSUK,NV0312,51626,51743,51626,51743,165,,301,,0,,0,,,,2008
WHEELER PASS** (from NV0525),NV0507,0,0,273898,275575,66,,242,,35,,175,,,September 1998,
WHISTLER MOUNTAIN (from NV0698),NV0608,0,0,42660,43245,24,,37,,0,,0,,,August 2005,2006
HICKISON SUMMIT*,NV0610,57275,57275,57275,57275,0,,0,,45,,82,,,,
MONTGOMERY PASS*,NV0317,84500,87339,49023,50815,0,,66,,0,,0,,,,
NORTH MONITOR*,NV0611,11277,11512,11277,11512,8,,26,,0,,0,,,,
ANTELOPE RANGE,NV0211,82071,131581,,,,,0,,,,0,,,October 1999,
APPLEWHITE,NV0518,30646,30968,,,,,6,,,,0,,,October 2009,
AUSTIN (into NV0604),NV0687,84223,85794,,,,,0,,,,0,,,,
BLOODY RUNS,NV0204,44896,74097,,,,,0,,,,0,,,October 1996,
BLUE DIAMOND (in NV0525),NV0505,,0,,,,,0,,,,0,,,,
BLUE NOSE PEAK,NV0514,84627,84788,,,,,5,,,,0,,,October 2009,
BUCK-BALD (into NV0417),NV0403,309106,322003,,,,,0,,,,0,,,August 2006,
BULTER BASIN*,NV0686,10345,10345,,,,,0,,,,0,,,,
BUTTE (from NV0406; into NV0417),NV0407,0,0,,,,,0,,,,0,,,August 2006,
CAVE VALLEY (in NV0410),NV0493,76376,76415,,,,,0,,,,0,,,,
CHERRY CREEK  (into NV0417) (original name Cherry Creek-Egan),NV0406,472429,481287,,,,,0,,,,0,,,February 1987,
CLOVER CREEK,NV0517,33187,33420,,,,,10,,,,0,,,October 2009,
CLOVER MOUNTAINS,NV0516,172733,173088,,,,,10,,,,0,,,October 2009,
DEER LODGE CANYON (into NV0414),NV0521,107988,109753,,,,,0,,,,0,,,March 2007,
DELAMAR MOUNTAINS,NV0515,184377,185843,,,,,15,,,,0,,,October 2009,
DOBBIN SUMMIT***,NV0615,19190,19309,,,,,0,,,,0,,,,
DRY LAKE (into NV0416),NV0410,415017,417957,,,,,0,,,,0,,,December 2006,
DUNLAP (into NV0314),NV0690,218953,219073,,,,,0,,,,0,,,,
EAST RANGE,NV0225,321328,451904,,,,,28,,,,0,,,November 2001,
EUGENE MOUNTAINS,NV0207,49215,86093,,,,,0,,,,0,,,June 1993,
FORTIFICATION (into NV0404),NV0496,337176,344655,,,,,0,,,,0,,,,
GABBS VALLEY RANGE (into NV314),NV0315,126784,127562,,,,,0,,,,0,,,November 1987,
GOLDEN GATE (into NV0411),NV0494,96247,97131,,,,,0,,,,0,,,,
GOSHUTE (in NV0401),NV0495,93086,93103,,,,,0,,,,0,,,,
GRASS VALLEY (into NV0604),NV0689,68503,70361,,,,,0,,,,0,,,,
HIGHLAND PEAK (into NV0416),NV0522,135986,137874,,,,,0,,,,0,,,December 2006,
HORSE SPRING,NV0307,15302,25695,,,,,0,,,,0,,,July 2000,
HOT SPRINGS MOUNTAINS,NV0203,47873,68179,,,,,0,,,,15,,,,
HUMBOLDT,NV0224,219075,431545,,,,,44,,,,0,,,July 1993,
IONE,NV0691,168445,168974,,,,,0,,,,0,,,,
JAKES WASH***,NV0408,153662,153662,,,,,97,,,,0,,,August 2007,
KOBEH VALLEY (into NV0608 & NV0612),NV0698,91084,93613,,,,,0,,,,0,,,,
KRUM HILLS,NV0206,38107,64192,,,,,0,,,,0,,,December 1985,
LAST CHANCE (into NV0510),NV0527,138036,161986,,,,,0,,,,0,,,,
LITTLE MOUNTAIN,NV0519,53088,53258,,,,,5,,,,0,,,October 2009,
LOWER PARADISE VALLEY,NV0233,16130,44896,,,,,0,,,,0,,,,
LUCKY STRIKE (in NV0525),NV0526,,0,,,,,0,,,,0,,,,
MAVRICK-BUTTE (into NV0403),NV0491,513667,517007,,,,,6,,,,0,,,,
MEADOW VALLEY MOUNTAINS,NV0513,95975,97448,,,,,0,,,,0,,,October 2009,
MILLER FLAT,NV0520,91756,92124,,,,,5,,,,0,,,October 2009,
MONTE CRISTO (into NV0415),NV0402,372780,378570,,,,,0,,,,0,,,January 2006,
MORIAH***,NV0413,43370,43405,,,,,60,,,,0,,,September 2010,
MORMON MOUNTAINS,NV0512,136793,136987,,,,,0,,,,0,,,October 2009,
MOUNT AIRY,NV0695,64812,67575,,,,,20,,,,0,,,,
MOUNT POTOSI (in NV0525),NV0506,,,,,,,0,,,,0,,,,
MOUNT STERLING (into NV0510),NV0508,79336,80679,,,,,0,,,,0,,,March 1999,
MURPHYS WASH,NV0452,98120,175926,,,,,0,,,,0,,,,
NORTH CHERRY CREEK (in NV0105 & NV0107),NV0106,152294,158161,,,,,0,,,,0,,,December 1996,
NORTH SHOSHONE,NV0697,103937,175130,,,,,0,,,,0,,,,
OSGOOD MOUNTAINS,NV0202,83997,142122,,,,,0,,,,0,,,,
PAH RAH MOUNTAINS,NV0304,11067,23522,,,,,0,,,,0,,,August 1985,
PARK MOUNTAIN,NV0694,34010,34065,,,,,0,,,,0,,,,
PATTERSON-EAGLE (into NV0404),NV0492,332059,342499,,,,,0,,,,0,,,,
POWELL MOUNTAIN*,NV0318,27248,30423,,,,,0,,,,0,,,,
QUINN***,NV0696,103960,105708,,,,,0,,,,0,,,,
RATTLESNAKE (into NV0416),NV0523,71432,71432,,,,,0,,,,0,,,December 2006,
SAND SPRINGS EAST (into NV0415),NV0405,480437,480983,,,,,0,,,,0,,,February 2006,
SCHELL CREEK (into NV0401),NV0490,299432,306658,,,,,0,,,,0,,,,
SEAMAN RANGE,NV0411,263105,264104,,,,,15,,,,0,,,August 2009,
SELENITE RANGE,NV0212,123496,125306,,,,,0,,,,1,,,December 2005,
SLUMBERING HILLS,NV0205,46055,46455,,,,,0,,,,0,,,,
SMITH CREEK (into NV0606),NV0688,136139,139279,,,,,0,,,,0,,,,
SONOMA RANGE,NV0223,150095,212587,,,,,0,,,,0,,,October 2009,
SOUTH PANCAKE,NV0692,75109,75109,,,,,0,,,,0,,,,
SOUTH SLUMBERING HILLS,NV0230,21341,30096,,,,,0,,,,0,,,December 1985,
SPRING MOUNTAIN (in NV0504 & NV0507),NV0525,773583,795515,,,,,0,,,,0,,,,
TOANO,NV0110,43811,67680,,,,,0,,,,0,,,October 1993,
TRINITY RANGE,NV0232,105621,161456,,,,,0,,,,0,,,December 2005,
TRUCKEE RANGE,NV0213,91974,171213,,,,,0,,,,0,,,,
TULE RIDGE/MAHOGANY FLAT,NV0319,4160,4404,,,,,0,,,,0,,,,
UPPER HOT CREEK,NV0693,92200,93262,,,,,0,,,,0,,,,
WHITE RIVER,NV0409,118627,118627,,,,,25,,,,0,,,August 2009,
WILLOW CREEK (in NV0618),NV0699,98252,99246,,,,,0,,,,0,,,,
WILSON CREEK (from into NV0414),NV0404,0,0,,,,,0,,,,0,,,February 2007,
OUTSIDE OF HERD AREAS,NV000Z,0,0,,,,,109,,,,15,,,August 2007,
BORDO ATRAVESADO,NM0001,16487,19614,16487,3128,60,,107,,0,,0,,June 2009,August 2005,2006
CARRACAS MESA*(3) (original name Rosa Community),NM0003,8019,8999,8019,8999,23,,12,,0,,0,,,December 2005,2010
GODFREY HILLS,NM0002,9407,27108,,,,,0,,,,0,,,,
PUNCHE VALLEY,NM0004,54742,70809,,,,,0,,,,0,,,,
OUTSIDE OF HERD AREAS,NM000Z,,,,,,,0,,,,0,,,April 1995,
BEATYS BUTTE,OR0002,399725,438140,399725,438140,250,,117,,0,,0,,,September 2009,2010
COLD SPRING,OR0013,29889,32664,29889,32664,150,,187,,0,,0,,,July 2005,2009
COYOTE LAKE/ALVORD TULE SPRINGS,OR0014,237958,253389,584854,588432,390,,240,,0,,0,,,November 2008,2010
HOG CREEK,OR0011,21819,22381,21819,22381,50,,30,,0,,0,,,November 2009,2010
JACKIES BUTTE,OR0015,120751,123766,65211,65251,150,,130,,0,,0,,,October 2007,2010
KIGER (from OR0020 & OR0038),OR0010,840,0,19998,30305,82,,86,,0,,0,,,October 2007,2010
LIGGETT TABLE,OR0037,28098,28849,28098,28849,25,,24,,0,,0,,,September 2009,2010
PAISLEY DESERT,OR0001,327895,335445,297552,303718,150,,60,,0,,0,,,December 2009,2010
PALOMINO BUTTES,OR0006,86191,98810,72359,74234,64,,32,,0,,0,,,December 2009,2010
POKEGAMA,OR0018,16279,84963,16279,84963,50,,46,,0,,0,,,June 2000,2010
RIDDLE MOUNTAIN,OR0009,76311,85231,28331,32666,56,,57,,0,,0,,,October 2007,2010
SAND SPRINGS,OR0017,193532,207253,193532,207253,200,,60,,0,,0,,,September 2006,2010
SHEEPSHEAD/HEATH CREEK (3),OR0016,136053,136749,198848,205275,302,,180,,0,,0,,,November 2008,2010
SOUTH STEENS,OR0003,187502,280715,127608,134459,304,,159,,0,,0,,,November 2009,2010
STINKINGWATER,OR0008,78312,92086,78312,92086,80,,215,,0,,0,,,September 2005,2009
THREE FINGERS,OR0012,82929,92681,62513,71486,150,,156,,0,,0,,,August 2006,2010
WARM SPRINGS,OR0007,474396,499457,474396,499457,202,,362,,25,,15,,,September 2006,2009
MURDERERS CREEK*,OR0019,34253,67132,34253,67132,35,,170,,0,,0,,,November 2009,2008
ALVORD TULE SPRINGS,OR0005,346896,364479,,,,,0,,,,0,,,,
ATTURBURY,OR0028,7906,9613,,,,,0,,,,0,,,,
BASQUE,OR0025,8676,9379,,,,,0,,,,0,,,,
CHERRY CREEK,OR0021,35744,138886,,,,,0,,,,0,,,,
COTTONWOOD BASIN,OR0026,7804,8042,,,,,0,,,,0,,,,
COTTONWOOD CREEK,OR0027,24326,24750,,,,,0,,,,0,,,,
DIAMOND CRATERS,OR0031,41051,51938,,,,,0,,,,0,,,,
EAST KIGER (into OR0010),OR0020,8031,10556,,,,,0,,,,0,,,,
EAST WAGONTIRE,OR0034,111450,199079,,,,,0,,,,0,,,,
HEATH CREEK-SHEEPSHEAD (into OR0016),OR0004,62795,68527,,,,,0,,,,0,,,,
LAKERIDGE,OR0023,3964,4355,,,,,0,,,,0,,,,
MIDDLE FORK,OR0032,37498,43370,,,,,0,,,,0,,,,
MORGER,OR0030,20385,26854,,,,,0,,,,0,,,,
POTHOLES,OR0024,9252,10255,,,,,0,,,,0,,,December 1990,
PUEBLO-LONE MOUNTAIN,OR0036,233145,237130,,,,,0,,,,0,,,November 1992,
RHODES CANYON,OR0022,14696,38976,,,,,0,,,,0,,,,
SECOND FLAT,OR0033,9183,12190,,,,,0,,,,0,,,,
SMYTH CREEK (into OR0010),OR0038,18872,28845,,,,,0,,,,0,,,,
SOUTH CATLOW,OR0035,42080,97218,,,,,0,,,,0,,,,
STOCKADE,OR0029,32173,48203,,,,,0,,,,0,,,,
OUTSIDE HERD AREAS,OR000Z,,,,,,,150,,,,0,,,April 1999,
BIBLE SPRING (3),UT0440,56588,61862,56588,61862,60,,60,,0,,0,,,July 2009,2010
CANYON LANDS,UT0571,77254,89392,77254,89392,0,,0,,100,,86,,,,2010
CEDAR MOUNTAIN,UT0241,300053,411636,197275,211592,390,,309,,0,,0,,,December 2008,2010
CHLORIDE CANYON,UT0442,44282,65408,42557,63684,30,,49,,0,,0,,,September 2009,2004
CHOKE CHERRY,UT0443,39782,48139,39782,48139,30,,71,,0,,0,,,February 2007,2009
CONFUSION,UT0552,255752,293665,255752,293665,115,,307,,0,,0,,,September 2004,2004
CONGER,UT0553,151506,170993,151506,170993,80,,243,,0,,0,,,July 2006,2008
FOUR MILE (3),UT0444,52985,61273,52985,61273,60,,30,,0,,0,,,July 2009,2010
FRISCO,UT0445,48733,60367,48733,60367,60,,117,,0,,0,,,August 2006,2006
KINGTOP,UT0554,161569,171467,161569,171467,40,,10,,0,,0,,,August 2000,2010
MOUNT ELINOR,UT0446,37383,42640,37383,42640,25,,66,,0,,0,,,,2009
